Trial,practice_ISI,practice_ITI,practice_trialtype,practice_feedback,practice_faces_L,practice_faces_R,practice_doors_L,practice_doors_R,practice_faces_L_type,practice_faces_R_type,practice_doors_L_type,practice_doors_R_type,A_ISI,B_ISI,A_ITI,B_ITI,A_trialtype,B_trialtype,A_feedback,B_feedback,A_faces_L,A_faces_R,A_doors_L,A_doors_R,B_faces_L,B_faces_R,B_doors_L,B_doors_R,A_faces_L_type,A_faces_R_type,A_doors_L_type,A_doors_R_type,B_faces_L_type,B_faces_R_type,B_doors_L_type,B_doors_R_type
1,1,2,win,positive,P_MF901.jpg,P_MF902.jpg,P_DD901.jpg,P_DD902.jpg,white,latino,brown,green,0.5,0.5,1,2,loss,loss,neutral,negative,MF015.jpg,MF016.jpg,DD015.jpg,DD016.jpg,MF023.jpg,MF024.jpg,DD023.jpg,DD024.jpg,black,asian,blue,brown,black,asian,blue,white
2,1,2,loss,neutral,P_FF901.jpg,P_FF902.jpg,P_SD901.jpg,P_SD902.jpg,asian,latino,yellow,brown,1,0.5,3,4,win,win,neutral,positive,FF023.jpg,FF024.jpg,SD023.jpg,SD024.jpg,MF015.jpg,MF016.jpg,DD015.jpg,DD016.jpg,white,asian,blue,blue,black,asian,blue,brown
3,1,2,win,neutral,P_FF903.jpg,P_FF904.jpg,P_DD903.jpg,P_DD904.jpg,asian,black,brown,brown,2,1.5,4,1,win,win,positive,neutral,MF041.jpg,MF042.jpg,DD041.jpg,DD042.jpg,MF013.jpg,MF014.jpg,DD013.jpg,DD014.jpg,white,asian,brown,brown,latino,asian,brown,green
4,1,2,loss,negative,P_MF903.jpg,P_MF904.jpg,P_SD903.jpg,P_SD904.jpg,latino,asian,blue,white,1.5,0.5,3,5,win,loss,positive,negative,MF031.jpg,MF032.jpg,DD031.jpg,DD032.jpg,FF029.jpg,FF030.jpg,SD029.jpg,SD030.jpg,latino,white,pink,red,asian,white,black,red
5,,,,,,,,,,,,,2,2,4,2,win,win,positive,positive,MF039.jpg,MF040.jpg,DD039.jpg,DD040.jpg,MF003.jpg,MF004.jpg,DD003.jpg,DD004.jpg,black,asian,white,black,latino,white,green,blue
6,,,,,,,,,,,,,0.5,0.5,2,1,loss,win,negative,positive,FF011.jpg,FF012.jpg,SD011.jpg,SD012.jpg,MF019.jpg,MF020.jpg,DD019.jpg,DD020.jpg,white,latino,blue,brown,white,latino,blue,brown
7,,,,,,,,,,,,,2,0.5,3,1,loss,loss,negative,negative,FF001.jpg,FF002.jpg,SD001.jpg,SD002.jpg,FF025.jpg,FF026.jpg,SD025.jpg,SD026.jpg,latino,black,green,purple,black,latino,green,gray
8,,,,,,,,,,,,,0.5,2,2,1,loss,loss,neutral,negative,MF017.jpg,MF018.jpg,DD017.jpg,DD018.jpg,MF027.jpg,MF028.jpg,DD027.jpg,DD028.jpg,white,latino,red,brown,white,black,blue,red
9,,,,,,,,,,,,,2,1,5,1,win,loss,positive,negative,MF035.jpg,MF036.jpg,DD035.jpg,DD036.jpg,FF031.jpg,FF032.jpg,SD031.jpg,SD032.jpg,latino,black,brown,brown,latino,black,red,purple
10,,,,,,,,,,,,,0.5,0.5,1,4,win,win,positive,positive,MF029.jpg,MF030.jpg,DD029.jpg,DD030.jpg,FF005.jpg,FF006.jpg,SD005.jpg,SD006.jpg,white,black,brown,brown,white,asian,black,black
11,,,,,,,,,,,,,0.5,1.5,1,1,loss,win,neutral,positive,FF015.jpg,FF016.jpg,SD015.jpg,SD016.jpg,FF015.jpg,FF016.jpg,SD015.jpg,SD016.jpg,black,asian,yellow,brown,black,asian,yellow,brown
12,,,,,,,,,,,,,0.5,1,3,3,win,win,positive,positive,FF041.jpg,FF042.jpg,SD041.jpg,SD042.jpg,MF017.jpg,MF018.jpg,DD017.jpg,DD018.jpg,latino,white,brown,purple,white,latino,red,brown
13,,,,,,,,,,,,,1,1,1,3,loss,loss,neutral,negative,FF019.jpg,FF020.jpg,SD019.jpg,SD020.jpg,FF027.jpg,FF028.jpg,SD027.jpg,SD028.jpg,latino,asian,brown,green,latino,asian,green,grey
14,,,,,,,,,,,,,2,2,2,5,win,loss,neutral,negative,MF023.jpg,MF024.jpg,DD023.jpg,DD024.jpg,MF029.jpg,MF030.jpg,DD029.jpg,DD030.jpg,black,asian,blue,white,white,black,brown,brown
15,,,,,,,,,,,,,0.5,0.5,3,4,win,loss,neutral,negative,FF021.jpg,FF022.jpg,SD021.jpg,SD022.jpg,FF023.jpg,FF024.jpg,SD023.jpg,SD024.jpg,black,latino,blue,red,white,asian,blue,blue
16,,,,,,,,,,,,,0.5,1,1,1,loss,win,negative,neutral,MF009.jpg,MF010.jpg,DD009.jpg,DD010.jpg,MF009.jpg,MF010.jpg,DD009.jpg,DD010.jpg,latino,asian,white,green,latino,asian,white,green
