gender,race,image_name,age_group,age_rating,ISSUES_lookingforwardsmiling,ISSUES_lookfake,ISSUES_standout,ISSUES_duplicate,ISSUES_SUM
boys,asian,generated_photos_5f181bbc1f67b00006809502.png.jpg,child,13,0,1,2,0,3
boys,black,generated_photos_5f8974015bec83000839de25.png.jpg,child,11,1,1,1,0,3
boys,black,generated_photos_5f897c615bec8300083cfa15.png.jpg,child,12,0,1,0,2,3
boys,latino,generated_photos_5e6814a06d3b380006d81edb.png.jpg,child,8,0,0,2,1,3
boys,latino,generated_photos_5e6815f56d3b380006d86e17.png.jpg,child,11,1,1,1,0,3
boys,latino,generated_photos_5e687dd46d3b380006ef957b.png.jpg,child,11,0,3,0,0,3
boys,latino,generated_photos_5f181a6f1f67b000068032ce.png.jpg,child,10,0,0,3,0,3
boys,white,generated_photos_5e68186e6d3b380006d9008b.png.jpg,child,10,0,2,1,0,3
boys,white,generated_photos_5e6845276d3b380006e2be8f.png.jpg,child,9,0,1,2,0,3
girls,asian,generated_photos_5e6803be6d3b380006d4449f.png.jpg,child,10,0,1,2,0,3
girls,asian,generated_photos_5e681c096d3b380006d9c46b.png.jpg,child,11,0,1,2,0,3
girls,asian,generated_photos_5e681f986d3b380006da87a7.png.jpg,child,12,0,0,3,0,3
girls,asian,generated_photos_5e6864f96d3b380006e9ea8f.png.jpg,child,11,0,2,1,0,3
girls,asian,generated_photos_5e687af76d3b380006eeea11.png.jpg,child,11,0,2,1,0,3
girls,black,generated_photos_5e6824c66d3b380006dba8f1.jpg,child,11,0,2,1,0,3
girls,black,generated_photos_5e687bf36d3b380006ef24df.jpg,child,10,0,2,1,0,3
girls,black,generated_photos_5f896e395bec83000837c1e6.png.jpg,child,14,0,0,3,0,3
girls,black,generated_photos_5f8973495bec830008399c2e.jpg,child,11,0,1,1,1,3
girls,latino,generated_photos_5e6832ad6d3b380006dea597.png.jpg,child,9,0,2,1,0,3
girls,latino,generated_photos_5e6856486d3b380006e69db5.png.jpg,child,12,0,2,1,0,3
girls,latino,generated_photos_5e6856636d3b380006e6a3f9.png.jpg,child,11,0,1,2,0,3
girls,latino,generated_photos_5e6864ff6d3b380006e9ec05.png.jpg,child,9,0,1,2,0,3
girls,white,generated_photos_5e680bad6d3b380006d60e37.png.jpg,child,10,0,1,2,0,3
girls,white,generated_photos_5e6811d56d3b380006d77b0b.png.jpg,child,11,0,1,1,1,3
girls,white,generated_photos_5e6819fe6d3b380006d956bf.png.jpg,child,12,0,2,1,0,3
girls,white,generated_photos_5e6867da6d3b380006ea95fd.png.jpg,child,9,0,1,2,0,3
boys,asian,generated_photos_5e6807ff6d3b380006d53439.png.jpg,non_child,15,0,2,1,0,3
boys,asian,generated_photos_5e6860916d3b380006e8f043.png.jpg,non_child,13,0,0,2,1,3
boys,asian,generated_photos_5e6862566d3b380006e9552f.png.jpg,non_child,15,1,0,2,0,3
boys,asian,generated_photos_5f180cd81f67b000067ba88b.png.jpg,non_child,12,0,1,1,1,3
boys,asian,generated_photos_5f1816291f67b000067ed3f4.png.jpg,non_child,16,0,1,2,0,3
boys,asian,generated_photos_5f1818a41f67b000067fa177.png.jpg,non_child,16,0,2,1,0,3
boys,asian,generated_photos_5f182dfd1f67b00006861571.png.jpg,non_child,15,0,1,1,1,3
boys,black,generated_photos_5f896c635bec830008370c6f.jpg,non_child,17,1,0,2,0,3
boys,black,generated_photos_5f896cb65bec830008372ce8.png.jpg,non_child,15,1,0,2,0,3
boys,black,generated_photos_5f8971195bec83000838d307.png.jpg,non_child,14,0,1,1,1,3
boys,black,generated_photos_5f8979935bec8300083bf038.png.jpg,non_child,14,1,0,2,0,3
boys,black,generated_photos_5f897c545bec8300083cf520.png.jpg,non_child,15,0,0,2,1,3
boys,latino,generated_photos_5e6802786d3b380006d3f945.png.jpg,non_child,15,1,1,1,0,3
boys,latino,generated_photos_5e6828a66d3b380006dc8071.png.jpg,non_child,15,0,1,2,0,3
boys,latino,generated_photos_5e6857bc6d3b380006e6f265.png.jpg,non_child,15,0,1,2,0,3
boys,latino,generated_photos_5e6867aa6d3b380006ea8afb.png.jpg,non_child,15,0,2,1,0,3
boys,latino,generated_photos_5e687e4d6d3b380006efb195.png.jpg,non_child,15,0,1,2,0,3
boys,white,15_W_M_008.jpg,non_child,14,0,0,3,0,3
boys,white,generated_photos_5e682d146d3b380006dd6c2f.png.jpg,non_child,14,0,1,1,1,3
boys,white,generated_photos_5e68559e6d3b380006e676b1.png.jpg,non_child,14,1,2,0,0,3
boys,white,generated_photos_5e6865cf6d3b380006ea1bbd.png.jpg,non_child,13,0,1,1,1,3
girls,asian,generated_photos_5e680f676d3b380006d6ea5b.png.jpg,non_child,18,1,0,2,0,3
girls,asian,generated_photos_5f182fde1f67b00006869e63.png.jpg,non_child,15,0,2,1,0,3
girls,black,generated_photos_5f897a935bec8300083c4cff.png.jpg,non_child,16,1,1,1,0,3
girls,black,generated_photos_5f897ae85bec8300083c6d27.png.jpg,non_child,14,0,1,2,0,3
girls,latino,generated_photos_5e682b816d3b380006dd1667.png.jpg,non_child,15,0,1,1,1,3
girls,latino,generated_photos_5e684fa56d3b380006e51cb7.png.jpg,non_child,15,0,1,1,1,3
girls,latino,generated_photos_5e6864f36d3b380006e9e94f.png.jpg,non_child,15,0,1,1,1,3
girls,latino,generated_photos_5e6867486d3b380006ea7469.png.jpg,non_child,12,2,1,0,0,3
girls,latino,generated_photos_5f8976a65bec8300083ad53f.png.jpg,non_child,15,0,3,0,0,3
girls,white,generated_photos_5e68141e6d3b380006d80065.png.jpg,non_child,13,0,2,1,0,3
girls,white,generated_photos_5e6818536d3b380006d8fa99.png.jpg,non_child,17,0,1,2,0,3
girls,white,generated_photos_5e6822586d3b380006db21ff.png.jpg,non_child,13,0,1,2,0,3
girls,white,generated_photos_5e6823a96d3b380006db6be7.png.jpg,non_child,15,0,1,1,1,3
girls,white,generated_photos_5e6851046d3b380006e56c3b.png.jpg,non_child,13,0,1,1,1,3
girls,white,generated_photos_5e6861cc6d3b380006e936bb.png.jpg,non_child,18,0,1,2,0,3
girls,white,generated_photos_5e6876306d3b380006edd057.png.jpg,non_child,13,0,1,2,0,3
boys,asian,generated_photos_5e6805206d3b380006d493a7.png.jpg,child,10,0,2,0,0,2
boys,asian,generated_photos_5e683ef66d3b380006e156bb.png.jpg,child,10,0,2,0,0,2
boys,asian,generated_photos_5e6856466d3b380006e69d3f.png.jpg,child,10,0,2,0,0,2
boys,asian,generated_photos_5e68581f6d3b380006e708a5.png.jpg,child,10,0,1,1,0,2
boys,asian,generated_photos_5e685c2d6d3b380006e7f0a5.png.jpg,child,11,0,0,1,1,2
boys,asian,generated_photos_5e6863946d3b380006e99b8d.png.jpg,child,11,0,1,1,0,2
boys,asian,generated_photos_5e6883c96d3b380006f0f19b.png.jpg,child,10,0,1,1,0,2
boys,black,generated_photos_5e6871486d3b380006ecb73d.png.jpg,child,9,0,0,2,0,2
boys,black,generated_photos_5f897d185bec8300083d3a20.png.jpg,child,10,1,0,1,0,2
boys,black,generated_photos_5f897efe5bec8300083de4a2.png.jpg,child,12,0,0,2,0,2
boys,latino,generated_photos_5e6857546d3b380006e6dae5.png.jpg,child,9,1,0,1,0,2
boys,white,generated_photos_5e6801396d3b380006d3ae8b.png.jpg,child,11,1,1,0,0,2
boys,white,generated_photos_5e680e016d3b380006d6974d.png.jpg,child,10,0,0,2,0,2
boys,white,generated_photos_5e6827556d3b380006dc35b5.png.jpg,child,11,0,1,1,0,2
boys,white,generated_photos_5e6832506d3b380006de91bb.png.jpg,child,10,1,0,1,0,2
boys,white,generated_photos_5e6858776d3b380006e71c8b.png.jpg,child,11,0,0,1,1,2
boys,white,generated_photos_5e686f216d3b380006ec3bcb.png.jpg,child,10,0,1,0,1,2
boys,white,generated_photos_5e68889c6d3b380006f20beb.png.jpg,child,10,1,0,1,0,2
girls,asian,generated_photos_5e681dd96d3b380006da2779.png.jpg,child,9,0,0,2,0,2
