Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6604794a159b7e296d3c45bd,6496f9fbc2928ee6956ef623,APPROVED,Not Applicable,2024-03-27T19:53:50.921000Z,2024-03-27T20:19:33.479000Z,2024-03-28T19:11:59.341000Z,2024-03-27T20:19:33.957547Z,1543.0,C6OYD5CR,1274,English,Yes,20,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
66048798f9a2af226774939e,5dd2441687c1fd266f9457f6,APPROVED,Not Applicable,2024-03-27T20:54:54.188000Z,2024-03-27T21:57:57.668000Z,2024-03-28T19:12:03.074000Z,2024-03-27T21:59:20.921198Z,3784.0,C6OYD5CR,416,English,Yes,22,Female,White,United States,United States,United States,English,No,Full-Time
6606b785f29d0e9607773e8b,65b50fa832c828a13f2aa884,APPROVED,Not Applicable,2024-03-29T12:44:06.815000Z,2024-03-29T13:04:33.114000Z,2024-03-29T17:38:12.796000Z,2024-03-29T13:06:56.059013Z,1227.0,C6OYD5CR,400,English,Yes,18,Male,White,United States,United States,United States,English,Yes,Other
6606bb1c5716a350f5fed11c,656e539f3c52ceb9b1d6d3f8,APPROVED,Not Applicable,2024-03-29T12:59:13.148000Z,2024-03-29T13:17:15.058000Z,2024-03-29T17:38:14.729000Z,2024-03-29T13:17:15.699456Z,1082.0,C6OYD5CR,45,English,Yes,18,Female,White,United States,United States,United States,English,Yes,Part-Time
6606fcb881fe1530292d12a5,60fe09c3f28ce9a5c6d2c5be,APPROVED,Not Applicable,2024-03-29T17:39:07.787000Z,2024-03-29T18:18:48.813000Z,2024-04-01T20:51:03.588000Z,2024-03-29T18:19:43.320791Z,2382.0,C6OYD5CR,180,English,Yes,25,Female,Mixed,United States,United States,United States,Spanish,Yes,Part-Time
6606fcd43ca1e19e460837d8,65b7ba948f5c3052140c24f8,APPROVED,Not Applicable,2024-03-29T17:39:38.614000Z,2024-03-29T17:56:46.925000Z,2024-04-01T20:51:03.924000Z,2024-03-29T17:57:43.391111Z,1029.0,C6OYD5CR,334,"English, Spanish",Yes,25,Female,Mixed,United States,United States,United States,English,No,Full-Time
6606fd2c630140439f416bbe,5ee1236e7f235110ac6c4ff4,APPROVED,Not Applicable,2024-03-29T17:41:13.292000Z,2024-03-29T17:52:50.634000Z,2024-04-01T20:51:04.316000Z,2024-03-29T17:52:51.936724Z,698.0,C6OYD5CR,936,"Arabic, English, Somali",Yes,24,Female,Black,United States,United States,United States,English,No,Full-Time
6606fe1331f03a8a7b94c83e,63d863bee06a7b1b3a8ba7f7,APPROVED,Not Applicable,2024-03-29T17:44:55.360000Z,2024-03-29T17:55:01.132000Z,2024-04-01T20:51:04.771000Z,2024-03-29T17:57:21.909410Z,606.0,C6OYD5CR,1017,English,Yes,22,Male,Black,United States,United States,United States,English,Yes,DATA_EXPIRED
6606fe20b24fc3117607888e,5e80f90be6882f01c5d585f6,APPROVED,Not Applicable,2024-03-29T17:45:27.023000Z,2024-03-29T17:59:10.868000Z,2024-04-01T20:51:05.166000Z,2024-03-29T17:59:11.539401Z,824.0,C6OYD5CR,646,English,Yes,24,Female,White,United States,United States,United States,English,Yes,Other
6606ff4545d9e7a82f3e84f3,655f8b7458396983e21d35cc,APPROVED,Not Applicable,2024-03-29T17:50:02.626000Z,2024-03-29T18:13:30.582000Z,2024-04-01T20:51:05.514000Z,2024-03-29T18:13:31.064193Z,1408.0,C6OYD5CR,25,English,Yes,20,Female,Asian,United States,United States,United States,English,Yes,Part-Time
6606ffacf5a79abcb66a52e7,65cba5349f4e1e5dfbe80fe8,APPROVED,Not Applicable,2024-03-29T17:51:40.148000Z,2024-03-29T18:12:11.692000Z,2024-04-01T20:51:05.814000Z,2024-03-29T18:12:12.572645Z,1232.0,C6OYD5CR,168,English,Yes,22,Female,Asian,United States,United States,United States,English,Yes,Other
6607001ddf0508d8faf0c7a4,5c663cd56fdc87000162e255,APPROVED,Not Applicable,2024-03-29T17:57:25.256000Z,2024-03-29T18:27:46.596000Z,2024-04-01T20:51:06.236000Z,2024-03-29T18:27:47.204633Z,1822.0,C6OYD5CR,7003,English,Yes,25,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
660700566c344b0044ed4316,612682ec747ac2d5df40f7df,APPROVED,Not Applicable,2024-03-29T17:54:34.921000Z,2024-03-29T18:07:48.989000Z,2024-04-01T20:51:06.560000Z,2024-03-29T18:07:50.013400Z,795.0,C6OYD5CR,1916,English,Yes,23,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
660700d0b6df4be98976b958,5eeaff28cf5da71d691ef212,APPROVED,Not Applicable,2024-03-29T17:56:36.056000Z,2024-03-29T18:16:44.723000Z,2024-04-01T20:51:07.073000Z,2024-03-29T19:21:59.843777Z,1209.0,C6OYD5CR,2446,"Chinese, English",Yes,24,Male,Asian,United States,United States,United States,English,No,Full-Time
660700f2f8662f16fb321f0a,5d16d17119d2ed0015e21360,APPROVED,Not Applicable,2024-03-29T17:57:14.601000Z,2024-03-29T18:27:37.394000Z,2024-04-01T20:51:07.537000Z,2024-03-29T18:27:37.887507Z,1823.0,C6OYD5CR,3723,English,Yes,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
660700f5a7b75f820781237e,5f2c760dfff10e03206a686b,APPROVED,Not Applicable,2024-03-29T17:57:12.848000Z,2024-03-29T19:22:00.145000Z,2024-04-01T20:51:07.868000Z,2024-03-29T19:22:19.765098Z,5088.0,C6OYD5CR,1281,English,Yes,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
66070207d06fa226cf85ee0b,65e6bb6d663548c538da4fae,APPROVED,Not Applicable,2024-03-29T18:05:28.136000Z,2024-03-29T18:36:30.158000Z,2024-04-01T20:51:08.243000Z,2024-03-29T18:37:07.124543Z,1863.0,C6OYD5CR,163,English,Yes,23,Male,Other,United States,United States,United States,English,No,Full-Time
660702569a9539eef5572359,651adee4c39c1b8ccfd30c2c,APPROVED,Not Applicable,2024-03-29T18:03:16.366000Z,2024-03-29T18:11:32.747000Z,2024-04-01T20:51:08.650000Z,2024-03-29T19:12:16.982741Z,497.0,C6OYD5CR,1001,English,Yes,21,Female,Asian,United States,United States,United States,English,Yes,Part-Time
660702c11bd4102d093f0f3b,5fb0a3d6a8e4224b973e750b,APPROVED,Not Applicable,2024-03-29T18:04:49.049000Z,2024-03-29T18:43:49.873000Z,2024-04-01T20:51:08.969000Z,2024-03-29T18:43:50.353979Z,2341.0,C6OYD5CR,4029,"English, Spanish",Yes,25,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66070307da897e12d9d7b663,655ff3dc53e8c9955c6d2132,APPROVED,Not Applicable,2024-03-29T18:06:02.385000Z,2024-03-29T18:29:44.038000Z,2024-04-01T20:51:09.308000Z,2024-03-29T18:29:45.017433Z,1422.0,C6OYD5CR,618,"Korean, English",Yes,20,Female,Asian,United States,United States,United States,English,Yes,Part-Time
660703ba853198a8154a69e2,65a14e69d16d066ea41de2a4,APPROVED,Not Applicable,2024-03-29T18:09:03.843000Z,2024-03-29T18:42:01.583000Z,2024-04-01T20:51:09.595000Z,2024-03-29T18:42:02.112877Z,1978.0,C6OYD5CR,495,English,Yes,23,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
660703bc3ca1e19e460839e2,63d42387aba51e699ab9ce5c,APPROVED,Not Applicable,2024-03-29T18:09:20.900000Z,2024-03-29T18:34:11.828000Z,2024-04-01T20:51:09.947000Z,2024-03-29T18:34:13.482140Z,1491.0,NOCODE,1651,English,Yes,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
660703ee914ca6946267b705,5d6513f46f5284000118ef1d,APPROVED,Not Applicable,2024-03-29T18:10:45.679000Z,2024-03-29T18:30:48.740000Z,2024-04-01T20:51:10.255000Z,2024-03-29T18:30:49.386944Z,1204.0,C6OYD5CR,3251,English,Yes,25,Male,White,United States,United States,United States,English,Yes,Other
6607044bd5f5357e11924528,61259d15b416f3964d7193a5,APPROVED,Not Applicable,2024-03-29T18:11:27.353000Z,2024-03-29T18:24:48.212000Z,2024-04-01T20:51:10.713000Z,2024-03-29T18:24:49.727792Z,801.0,C6OYD5CR,193,English,Yes,21,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6607047a19dc5173fbbc91a3,6605d27273f797141d2cf319,APPROVED,Not Applicable,2024-03-29T18:14:16.328000Z,2024-03-29T18:39:47.641000Z,2024-04-01T20:51:11.037000Z,2024-03-29T18:40:48.533422Z,1532.0,C6OYD5CR,15,English,Yes,21,Female,White,United States,United States,United States,English,Yes,Other
6607056f556b2779263fabf4,616604bed27acb2f4e2841a9,APPROVED,Not Applicable,2024-03-29T18:17:57.547000Z,2024-03-29T19:26:28.448000Z,2024-04-01T20:51:11.366000Z,2024-03-29T19:26:28.981992Z,4111.0,NOCODE,2713,"English, Japanese, Spanish",Yes,25,Male,White,United States,United States,United States,English,No,Full-Time
66070575b7da8f7c4297e397,65c27542f2f5d42d352eb289,APPROVED,Not Applicable,2024-03-29T18:16:31.211000Z,2024-03-29T19:13:07.103000Z,2024-04-01T20:51:11.702000Z,2024-03-29T19:13:07.884197Z,3396.0,C6OYD5CR,114,English,Yes,25,Female,Black,United States,United States,United States,English,No,Full-Time
660705c76f3484d31897f9cf,655f8b313aadb767f13fddeb,APPROVED,Not Applicable,2024-03-29T18:18:01.072000Z,2024-03-29T18:38:25.711000Z,2024-04-01T20:51:12.095000Z,2024-03-29T18:40:39.490329Z,1225.0,C6OYD5CR,437,English,Yes,25,Female,Black,United States,United States,United States,English,Yes,Other
6607060082a8f669b5ba031e,610ef1140e35c1351e7f6a1b,APPROVED,Not Applicable,2024-03-29T18:18:44.740000Z,2024-03-29T18:46:37.037000Z,2024-04-01T20:51:12.528000Z,2024-03-29T18:46:37.527351Z,1673.0,C6OYD5CR,507,English,Yes,23,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
660706086680c29523f50271,6500a84f0a4f87687fa51a20,APPROVED,Not Applicable,2024-03-29T18:23:03.804000Z,2024-03-29T18:40:38.745000Z,2024-04-01T20:51:13.052000Z,2024-03-29T18:40:57.208943Z,1055.0,C6OYD5CR,1109,English,Yes,23,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
660706265716a350f5feeb35,64016b31c3a34648748168d1,APPROVED,Not Applicable,2024-03-29T18:19:22.099000Z,2024-03-29T18:44:47.582000Z,2024-04-01T20:51:13.359000Z,2024-03-29T18:44:48.161005Z,1526.0,C6OYD5CR,1549,English,Yes,25,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
6607064201ab605e428f3569,631275e35e145fd8341acb9d,APPROVED,Not Applicable,2024-03-29T18:20:04.837000Z,2024-03-29T18:37:08.091000Z,2024-04-01T20:51:13.789000Z,2024-03-29T19:41:05.929605Z,1024.0,C6OYD5CR,1064,"English, Spanish",Yes,20,Male,Other,United States,United States,United States,English,Yes,Part-Time
6607066d19dc5173fbbc922e,5e6fe86f7245355b33d7b045,APPROVED,Not Applicable,2024-03-29T18:22:08.343000Z,2024-03-29T18:39:25.484000Z,2024-04-01T20:51:14.128000Z,2024-03-29T18:40:46.984603Z,1038.0,C6OYD5CR,1784,English,Yes,22,Female,White,United States,United States,United States,English,Yes,Due to start a new job within the next month
660706961769701f4f8a72db,65b7e0ee3f2311195bbcd6df,APPROVED,Not Applicable,2024-03-29T18:21:19.057000Z,2024-03-29T18:37:59.971000Z,2024-04-01T20:51:14.430000Z,2024-03-29T18:40:34.521632Z,1001.0,C6OYD5CR,413,English,Yes,24,Female,Mixed,United States,United States,United States,English,No,Full-Time
6607069c483c66b15d85f320,65cba09158b74649b3cd7505,APPROVED,Not Applicable,2024-03-29T18:21:20.083000Z,2024-03-29T18:51:47.637000Z,2024-04-01T20:51:14.726000Z,2024-03-29T18:54:42.875335Z,1828.0,C6OYD5CR,376,"English, Vietnamese",Yes,23,Female,Asian,United States,United States,United States,Vietnamese,Yes,Other
660706b1bd68f244b742bc36,6006f8b3977ac90f0e81d37d,APPROVED,Not Applicable,2024-03-29T18:21:47.449000Z,2024-03-29T18:39:18.052000Z,2024-04-01T20:51:15.049000Z,2024-03-29T18:40:45.258766Z,1051.0,C6OYD5CR,1378,"Chinese, English",Yes,21,Female,Asian,United States,United States,United States,Chinese,Yes,Part-Time
660706b450a276a22e27e497,5e0d0ba13f29154adf4ff08b,APPROVED,Not Applicable,2024-03-29T18:21:43.764000Z,2024-03-29T18:34:42.834000Z,2024-04-01T20:51:15.335000Z,2024-03-29T18:34:43.446852Z,780.0,C6OYD5CR,662,"Arabic, English",Yes,25,Male,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
660707a0e44834c0c43ed87e,5dd9df0e946f7c97406a55ea,APPROVED,Not Applicable,2024-03-29T18:25:42.201000Z,2024-03-29T18:52:17.759000Z,2024-04-01T20:51:15.634000Z,2024-03-29T18:54:48.426873Z,1596.0,C6OYD5CR,3822,English,Yes,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
660708c269c639ce8b2da344,63ead665638c8546d8c3a962,APPROVED,Not Applicable,2024-03-29T18:30:33.892000Z,2024-03-29T18:51:28.438000Z,2024-04-01T20:51:16.026000Z,2024-03-29T18:54:40.000464Z,1255.0,C6OYD5CR,1565,English,Yes,22,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
660708c97e3d5f526594cd5d,65e43b2d854b38d4312fc45b,APPROVED,Not Applicable,2024-03-29T18:30:42.321000Z,2024-03-29T18:54:16.273000Z,2024-04-01T20:51:16.716000Z,2024-03-29T18:55:39.423165Z,1414.0,C6OYD5CR,137,English,Yes,21,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66070ea7b7da8f7c4297e634,6079ff1600ff2b7455e1c3e0,APPROVED,Not Applicable,2024-03-29T18:55:49.323000Z,2024-03-29T19:31:04.199000Z,2024-04-01T20:51:17.122000Z,2024-03-29T19:31:13.736201Z,2115.0,C6OYD5CR,790,English,Yes,22,Female,Black,United States,United States,United States,English,Yes,DATA_EXPIRED
